edge,end_id,end_vertex_type,start_id,start_vertex_type
32->1,1,People_0,32,People_3
6->1,1,People_0,6,People_0
7->1,1,People_0,7,People_0
13->1,1,People_0,13,People_1
8->1,1,People_0,8,People_1
4->1,1,People_0,4,People_1
3->1,1,People_0,3,People_1
2->1,1,People_0,2,People_1
11->1,1,People_0,11,People_0
12->1,1,People_0,12,People_0
5->1,1,People_0,5,People_0
22->1,1,People_0,22,People_1
9->1,1,People_0,9,People_2
20->1,1,People_0,20,People_1
18->1,1,People_0,18,People_1
14->1,1,People_0,14,People_1
7->5,5,People_0,7,People_0
11->5,5,People_0,11,People_0
7->6,6,People_0,7,People_0
11->6,6,People_0,11,People_0
17->6,6,People_0,17,People_0
17->7,7,People_0,17,People_0
31->9,9,People_2,31,People_2
33->9,9,People_2,33,People_2
34->9,9,People_2,34,People_2
34->10,10,People_2,34,People_2
33->15,15,People_2,33,People_2
34->15,15,People_2,34,People_2
34->16,16,People_2,34,People_2
33->16,16,People_2,33,People_2
34->19,19,People_2,34,People_2
33->19,19,People_2,33,People_2
34->21,21,People_2,34,People_2
33->21,21,People_2,33,People_2
33->23,23,People_2,33,People_2
34->23,23,People_2,34,People_2
34->27,27,People_2,34,People_2
30->27,27,People_2,30,People_2
34->30,30,People_2,34,People_2
33->30,30,People_2,33,People_2
33->31,31,People_2,33,People_2
34->31,31,People_2,34,People_2
34->33,33,People_2,34,People_2
34->24,24,People_3,34,People_2
28->24,24,People_3,28,People_3
33->24,24,People_3,33,People_2
26->24,24,People_3,26,People_3
30->24,24,People_3,30,People_2
32->25,25,People_3,32,People_3
26->25,25,People_3,26,People_3
28->25,25,People_3,28,People_3
32->26,26,People_3,32,People_3
34->28,28,People_3,34,People_2
34->29,29,People_3,34,People_2
32->29,29,People_3,32,People_3
33->32,32,People_3,33,People_2
34->32,32,People_3,34,People_2
22->2,2,People_1,22,People_1
4->2,2,People_1,4,People_1
8->2,2,People_1,8,People_1
18->2,2,People_1,18,People_1
20->2,2,People_1,20,People_1
31->2,2,People_1,31,People_2
14->2,2,People_1,14,People_1
3->2,2,People_1,3,People_1
29->3,3,People_1,29,People_3
28->3,3,People_1,28,People_3
4->3,3,People_1,4,People_1
8->3,3,People_1,8,People_1
14->3,3,People_1,14,People_1
33->3,3,People_1,33,People_2
10->3,3,People_1,10,People_2
9->3,3,People_1,9,People_2
8->4,4,People_1,8,People_1
14->4,4,People_1,14,People_1
13->4,4,People_1,13,People_1
34->14,14,People_1,34,People_2
34->20,20,People_1,34,People_2
